1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,020,103397,6,,103106,,,6-4 6-1,3,R16,Alexandre Simoni,R,188,BRA,19.7973990418,Keith Brill,R,,USA,21.2785763176,366,88,774,15,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,021,103373,5,,103900,,WC,7-6 3-6 6-4,3,R16,Sergio Roitman,R,185,ARG,19.9260780287,David Nalbandian,R,180,ARG,17.2950034223,360,91,1291,1,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,022,102930,,,101976,4,,6-4 1-6 6-3,3,R16,Rodrigo Cerdera,R,,ARG,22.2012320329,Federico Dondo,R,,URU,27.5017111567,675,21,351,94,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,023,104076,,Q,103532,,,6-2 6-1,3,R16,Jose Acasuso,R,190,ARG,16.4955509925,Ignacio Gonzalez King,R,175,ARG,19.0718685832,,,858,10,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,024,102554,2,,103506,,,6-1 6-0,3,R16,Diego Moyano,R,175,ARG,24.0985626283,Martin Vassallo Arguello,R,183,ARG,19.1868583162,289,129,656,23,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,025,102665,8,,102224,,,4-6 7-6 6-1,3,QF,Damian Furmanski,R,,ARG,23.537303217,Miguel Pastura,R,,ARG,25.8945927447,396,76,489,49,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,026,103478,,,103397,6,,7-6 6-1,3,QF,Diego Veronelli,R,193,ARG,19.370294319,Alexandre Simoni,R,188,BRA,19.7973990418,412,72,366,88,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,027,103373,5,,102930,,,5-7 6-3 6-1,3,QF,Sergio Roitman,R,185,ARG,19.9260780287,Rodrigo Cerdera,R,,ARG,22.2012320329,360,91,675,21,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,028,102554,2,,104076,,Q,6-1 6-4,3,QF,Diego Moyano,R,175,ARG,24.0985626283,Jose Acasuso,R,190,ARG,16.4955509925,289,129,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,029,102665,8,,103478,,,6-0 7-5,3,SF,Damian Furmanski,R,,ARG,23.537303217,Diego Veronelli,R,193,ARG,19.370294319,396,76,412,72,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,030,102554,2,,103373,5,,6-3 6-0,3,SF,Diego Moyano,R,175,ARG,24.0985626283,Sergio Roitman,R,185,ARG,19.9260780287,289,129,360,91,,,,,,,,,,,,,,,,,,,,,,,,,
