tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-5047,Bangkok CH,Hard,32,C,20160104,285,103843,,PR,Marco Chiudinelli,R,185,SUI,34.3162217659,282,181,105147,1,,Tatsuma Ito,R,180,JPN,27.6303901437,119,487,6-2 6-3,3,R32,69,4,2,42,23,21,11,8,0,0,4,4,55,30,19,9,9,4,8,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,284,105406,,,Roberto Marcora,U,,ITA,26.3463381246,246,210,105339,,,Yan Bai,U,,CHN,26.6228610541,220,236,3-2 RET,3,R32,26,4,1,25,16,11,3,3,3,4,1,5,17,6,5,3,2,1,2,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,283,106034,,,Yasutaka Uchiyama,R,,JPN,23.4140999316,251,206,127143,,WC,Jirat Navasirisomboon,R,,THA,19.1293634497,915,17,6-4 6-4,3,R32,68,10,3,51,35,30,8,10,0,1,1,4,60,38,23,12,10,0,3,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,282,103565,,,Stephane Robert,R,185,FRA,35.6331279945,208,239,104007,8,,Andre Ghem,R,193,BRA,33.6016427105,149,389,6-7(3) 7-6(4) 6-3,3,R32,125,14,9,102,48,41,29,17,3,5,6,3,105,66,46,22,16,6,9,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,281,104022,3,,Mikhail Youzhny,R,183,RUS,33.5277207392,127,465,106361,,,Adam Pavlasek,R,,CZE,21.2402464066,160,353,6-3 6-2,3,R32,82,2,4,70,43,26,18,9,10,11,7,4,59,32,20,10,8,6,10,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,280,104804,,,Amir Weintraub,R,188,ISR,29.3004791239,212,238,104251,,,Ti Chen,R,183,TPE,32.2546201232,201,248,6-4 6-3,3,R32,85,5,0,65,47,30,9,10,9,12,1,1,55,35,20,7,9,6,11,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,279,106078,,,Egor Gerasimov,R,,BLR,23.1457905544,188,264,125802,,Q,Ilya Ivashka,U,,BLR,21.8590006845,355,129,5-3 RET,3,R32,34,3,1,28,14,11,8,4,0,0,0,1,19,11,9,4,4,1,2,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,278,122078,,Q,Dmitry Popko,R,,KAZ,19.1950718686,257,204,105671,6,,Gastao Elias,R,178,POR,25.1115674196,133,441,5-7 6-3 6-2,3,R32,132,4,3,92,46,35,28,15,4,6,3,1,89,47,31,21,14,3,7,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,277,104424,5,,Go Soeda,R,178,JPN,31.3292265572,132,447,104095,,,David Guez,R,185,FRA,33.0732375086,168,306,2-6 6-4 6-1,3,R32,113,2,2,73,48,33,10,12,6,10,3,2,82,50,29,15,13,5,11,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,276,105015,,,Franco Skugor,R,193,CRO,28.2902121834,182,276,105842,,,Di Wu,R,,CHN,24.3066392882,237,218,6-4 3-0 RET,3,R32,59,10,4,39,20,17,8,6,1,2,0,4,48,27,14,9,7,5,9,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,275,104963,,,Yannick Mertens,R,,BEL,28.5284052019,200,249,105426,,,Michael Linzer,U,,AUT,26.1711156742,270,194,6-7(2) 6-3 7-6(5),3,R32,158,5,4,101,62,51,21,17,1,3,5,11,113,54,39,33,16,9,12,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,274,106293,4,,Kimmer Coppejans,R,,BEL,21.9055441478,130,452,110571,,WC,Phassawit Burapharitta,U,,THA,23.0280629706,887,19,6-3 7-5,3,R32,83,7,0,64,44,30,13,10,3,5,1,2,68,47,27,9,11,4,9,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,273,104505,7,,Konstantin Kravchuk,R,190,RUS,30.8610540726,139,429,111180,,WC,Nattan Benjasupawan,U,,THA,21.3689253936,2085,1,6-0 6-0,3,R32,43,6,0,35,21,16,11,6,2,2,0,5,39,22,10,2,6,6,12,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,272,105738,,,Tsung Hua Yang,R,,TPE,24.7693360712,204,245,105579,,WC,Kittipong Wachiramanowong,R,183,THA,25.5277207392,829,23,6-3 6-4,3,R32,78,9,2,60,34,27,16,10,2,2,3,6,84,42,28,20,9,11,13,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,271,105359,,Q,Jason Jung,U,,USA,26.5544147844,256,204,105814,,Q,Maximilian Neuchrist,R,,AUT,24.4544832307,390,112,6-4 5-7 6-2,3,R32,107,7,1,76,46,37,18,15,0,2,13,4,89,47,37,16,15,1,5,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,270,105216,2,,Yuichi Sugita,R,,JPN,27.2936344969,126,472,117353,,,Duck Hee Lee,R,,KOR,17.6016427105,229,226,6-3 2-6 6-3,3,R32,113,8,1,74,42,32,13,13,3,7,7,5,91,51,32,17,13,1,6,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,269,125802,,,Ilya Ivashka,U,,BLR,21.8590006845,355,129,111192,,,Lucas Miedler,R,,AUT,19.537303217,374,117,6-1 6-0,3,Q3,53,6,1,38,24,17,10,6,1,1,0,1,45,24,10,7,7,3,9,,,,,,,,,,,,,,,,,,,,
