tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,018,106035,8,,Isak Arvidsson,R,,SWE,24.4271047228,574,56,111781,,Q,Janis Podzus,L,,LAT,22.5325119781,2064,1,6-1 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,019,106348,3,,Evgeny Karlovskiy,R,,RUS,22.4257357974,503,74,126151,,,Pavel Nejedly,U,,CZE,23.9041752225,619,48,6-4 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,020,123828,,,Jan Choinski,R,,GER,20.5831622177,608,50,105113,6,,Patrik Rosenholm,R,,SWE,28.848733744,543,64,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,021,105510,,,Neil Pauffley,R,,GBR,26.7843942505,640,44,105778,7,,Tobias Simon,R,,GER,25.6481861739,549,63,6-4 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,022,106138,4,,Yaraslau Shyla,R,,BLR,23.8494182067,519,70,131867,,,Dominik Boehler,R,,GER,20.8843258042,731,30,6-3 7-6(5),3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,023,106214,5,,Oscar Otte,R,,GER,23.485284052,523,70,105788,,,Jakob Sude,U,,GER,25.5633127995,776,24,7-6(4) 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,024,105299,2,,Dzmitry Zhyrmont,U,,BLR,27.8603696099,321,150,131866,,WC,Hendrik Jebens,U,,GER,21.4236824093,1876,1,7-5 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,025,116985,1,,Petr Michnev,R,,CZE,27.4360027379,285,173,106035,8,,Isak Arvidsson,R,,SWE,24.4271047228,574,56,6-2 7-6(4),3,QF,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,026,106348,3,,Evgeny Karlovskiy,R,,RUS,22.4257357974,503,74,123828,,,Jan Choinski,R,,GER,20.5831622177,608,50,7-5 6-2,3,QF,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,027,106138,4,,Yaraslau Shyla,R,,BLR,23.8494182067,519,70,105510,,,Neil Pauffley,R,,GBR,26.7843942505,640,44,6-3 3-6 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,028,105299,2,,Dzmitry Zhyrmont,U,,BLR,27.8603696099,321,150,106214,5,,Oscar Otte,R,,GER,23.485284052,523,70,6-2 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,029,106348,3,,Evgeny Karlovskiy,R,,RUS,22.4257357974,503,74,116985,1,,Petr Michnev,R,,CZE,27.4360027379,285,173,6-7(4) 7-6(5) 7-6(5),3,SF,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,030,106138,4,,Yaraslau Shyla,R,,BLR,23.8494182067,519,70,105299,2,,Dzmitry Zhyrmont,U,,BLR,27.8603696099,321,150,7-5 6-4,3,SF,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-GER-01A-2017,Germany F1,Carpet,32,S,20170109,031,106348,3,,Evgeny Karlovskiy,R,,RUS,22.4257357974,503,74,106138,4,,Yaraslau Shyla,R,,BLR,23.8494182067,519,70,2-6 6-4 6-4,3,F,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,001,106005,1,,Constant Lestienne,R,,FRA,24.6324435318,167,352,105875,,,Thomas Giraudeau,U,,FRA,25.1225188227,1092,8,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,002,144656,,,Corentin Denolly,L,,FRA,19.5947980835,479,82,206313,,Q,Leo Bresson,U,,FRA,20.1752224504,,,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,003,104579,,,Romain Jouan,R,183,FRA,31.485284052,419,99,105363,,Q,Maxime Forcin,U,,FRA,27.5400410678,,,6-4 3-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,004,105714,7,,Hugo Nys,R,,FRA,25.8973305955,353,131,105414,,Q,Matthieu Roy,U,,FRA,27.2991101985,1001,12,6-3 2-0 RET,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,005,106072,4,Q,Alexey Vatutin,U,,RUS,24.2026009582,293,167,123827,,,Samuel Bensoussan,U,,FRA,25.144421629,714,33,6-1 RET,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,006,131904,,WC,Louis Chaix,U,,FRA,21.659137577,1258,5,106156,,,Sebastien Boltz,R,,FRA,23.7645448323,693,35,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,
